standing_id,season_id,league_id,position,team_id,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,form
56,2,2,16,104,38,8,12,18,36,42,68,-26,"['L', 'D', 'L', 'W', 'L']"
58,2,2,18,470,38,8,11,19,35,44,69,-25,"['W', 'D', 'L', 'W', 'L']"
60,2,2,20,455,38,2,11,25,17,32,81,-49,"['L', 'L', 'D', 'L', 'D']"
62,3,3,2,81,38,26,7,5,85,79,44,35,"['L', 'W', 'W', 'W', 'W']"
64,3,3,4,78,38,24,4,10,76,70,43,27,"['W', 'W', 'W', 'L', 'W']"
66,3,3,6,92,38,16,12,10,60,51,39,12,"['W', 'L', 'W', 'W', 'L']"
69,3,3,9,95,38,13,10,15,49,40,45,-5,"['L', 'D', 'L', 'L', 'D']"
71,3,3,11,79,38,12,9,17,45,45,56,-11,"['L', 'D', 'D', 'W', 'D']"
73,3,3,13,558,38,10,11,17,41,46,57,-11,"['W', 'L', 'W', 'W', 'D']"
75,3,3,15,89,38,8,16,14,40,33,44,-11,"['L', 'W', 'D', 'D', 'W']"
77,3,3,17,87,38,8,14,16,38,29,48,-19,"['L', 'D', 'W', 'L', 'L']"
80,3,3,20,83,38,4,9,25,21,38,79,-41,"['L', 'L', 'L', 'L', 'L']"
81,5,5,1,524,34,22,10,2,76,81,33,48,"['W', 'D', 'L', 'W', 'W']"
82,5,5,2,548,34,20,7,7,67,68,42,26,"['W', 'L', 'W', 'W', 'W']"
83,5,5,3,512,34,17,10,7,61,53,34,19,"['L', 'W', 'D', 'D', 'W']"
84,5,5,4,521,34,16,11,7,59,52,34,18,"['L', 'W', 'L', 'W', 'D']"
85,5,5,5,522,34,15,10,9,55,40,29,11,"['D', 'W', 'W', 'L', 'D']"
86,5,5,6,523,34,16,5,13,53,49,55,-6,"['L', 'W', 'W', 'W', 'W']"
87,5,5,7,546,34,14,9,11,51,45,37,8,"['W', 'D', 'L', 'L', 'W']"
88,5,5,8,516,34,13,11,10,50,52,41,11,"['D', 'W', 'W', 'L', 'W']"
89,5,5,9,547,34,13,8,13,47,42,47,-5,"['L', 'L', 'D', 'W', 'W']"
90,5,5,10,529,34,12,10,12,46,53,46,7,"['W', 'L', 'W', 'D', 'L']"
91,5,5,11,511,34,11,10,13,43,42,46,-4,"['D', 'W', 'L', 'W', 'L']"
92,5,5,12,518,34,10,12,12,41,43,48,-5,"['W', 'D', 'W', 'L', 'D']"
93,5,5,13,576,34,10,9,15,39,38,50,-12,"['L', 'L', 'L', 'W', 'L']"
94,5,5,14,543,34,9,6,19,33,30,55,-25,"['L', 'D', 'D', 'L', 'L']"
95,5,5,15,533,34,7,11,16,32,34,45,-11,"['L', 'D', 'W', 'L', 'L']"
96,5,5,16,545,34,8,5,21,29,35,58,-23,"['W', 'L', 'L', 'L', 'L']"
97,5,5,17,525,34,7,8,19,29,43,66,-23,"['L', 'L', 'L', 'L', 'W']"
98,5,5,18,541,34,5,10,19,25,26,60,-34,"['L', 'W', 'L', 'L', 'L']"
