stadium_id,name,location,capacity
55,Mapei Stadium - Città del Tricolore,"Piazza Risorgimento, 47 Sassuolo 41049",
56,Stadio Olimpico di Torino,Via Arcivescovado 1 Torino 10122,
57,Stadio Comunale Via Del Mare,Via Templari 11 Lecce 73100,
58,Stadio Comunale Brianteo,"Via Ragazzi del '99, 14 Monza 20900",
61,San Mamés,"Ibaigane, Alameda Mazarredo, 23 Bilbao 48009",
62,Estadio Wanda Metropolitano,"Paseo Virgen del Puerto, 67 Madrid 28005",
63,Estadio El Sadar,"Calle del Sadar, s/n Pamplona 31006",
64,Camp Nou,Avenida Arístides Maillol s/n Barcelona 08028,
65,Coliseum Alfonso Pérez,"Avenida Teresa de Calcuta, s/n Getafe 28903",
66,Estadio Nuevo Los Cármenes,"Calle del Pintor Manuel Maldonado, s/n Granada 18007",
67,Estadio Santiago Bernabéu,"Avenida Concha Espina, 1 Madrid 28036",
68,Estadio del Rayo Vallecano,"Calle del Payaso Fofó, s/n Madrid 28018",
69,Iberostar Estadi,"Son Moix, Calle Camí dels Reis, s/n Palma de Mallorca 07011",
70,Estadio Benito Villamarín,"Avenida de Heliópolis, s/n Sevilla 41012",
71,Estadio Municipal de Anoeta,"Anoeta Pasalekua, 1 San Sebastián 20014",
72,Estadio de la Cerámica,"Camino Miralcamp, s/n Villarreal 12540",
73,Estadio de Mestalla,"Plaza del Valencia Club de Fútbol, 2 Valencia 46010",
74,Estadio de Mendizorroza,"Mendizorroza, Paseo Cervantes, s/n Vitoria 01007",
75,Estadio Ramón de Carranza,"Plaza de Madrid, s/n Cádiz 11010",
76,Estadio de los Juegos Mediterráneos,"Calle Alcalde Santiago Martínez Cabrejas, 5 Almería 04007",
77,Estadio de Gran Canaria,"Calle Pío XII, 29 Las Palmas de Gran Canaria 35005",
78,Estadi Municipal de Montilivi,"Avinguda de Montilivi, 141 Girona 17003",
79,Estadio de Balaídos,"Calle del Conde de Gondomar, 1 Vigo 36203",
80,Estadio Ramón Sánchez Pizjuán,"Calle Sevilla Fútbol Club, s/n Sevilla 41005",
84,Stade de la Mosson,Domaine de Grammont CS 79041 Montpellier 34967,
85,Stade Pierre-Mauroy,"Grand Rue 59, 780 Camphin-en-Pévèle Lille null",
86,Stade de Nice,"35, avenue du Ray Nice 06100",
87,Groupama Stadium,350 avenue Jean Jaurès Lyon 69007,
88,Parc des Princes,"24, rue de Commandant Guibaud Paris 7501",
89,Stade Yves Allainmat - Le Moustoir,"Tade Yves Allainmat<br>Rue Du Tour Des Portes, BP 404 Lorient 56104",
90,Roazhon Park,La Piverdière - Chemin de la Taupinais CS 5390 Rennes 35039,
91,Stade Océane,2 route du château BP 90 Saint-Laurent-de-Brèvedent 76700,
92,Stade Gabriel Montpied,Rue Adrien Mabrut Clermont-Ferrand 63100,
93,Stade de la Beaujoire - Louis Fonteneau,"Centre Sportif José Arribas, La Jonelière Nantes 44240",
94,Stade Saint-Symphorien,"3, allée Saint Symphonien, BP 40292 Metz 5700",
95,Stade Bollaert-Delelis,33 rue Arthur Lamendin Avion 62210,
96,Stade Auguste-Delaune II,26 rue Robert-Fulton Reims 51100,
97,Stade Louis II.,Avenue des Castellans Monaco 98000,
98,Stade de la Meinau,12 Rue Extenwoerth Strasbourg 67000,
