team_id,name,founded_year,stadium_id,league_id,coach_id,cresturl
402,Brentford,1889.0,38,1,38,https://crests.football-data.org/402.png
563,West Ham United,1895.0,39,1,39,https://crests.football-data.org/563.png
1044,AFC Bournemouth,1890.0,40,1,40,https://crests.football-data.org/1044.png
450,Hellas Verona FC,1903.0,52,2,54,https://crests.football-data.org/450.png
455,US Salernitana 1919,1919.0,53,2,55,https://crests.football-data.org/455.png
470,Frosinone Calcio,1912.0,54,2,56,https://crests.football-data.org/470.png
471,US Sassuolo Calcio,1920.0,55,2,57,https://crests.football-data.org/471.png
586,Torino FC,1894.0,56,2,58,https://crests.football-data.org/586.png
5890,US Lecce,1908.0,57,2,59,https://crests.football-data.org/5890.png
5911,AC Monza,1912.0,58,2,60,https://crests.football-data.org/5911.png
275,UD Las Palmas,1949.0,77,3,77,https://crests.football-data.org/275.png
298,Girona FC,1930.0,78,3,78,https://crests.football-data.org/298.png
558,RC Celta de Vigo,1923.0,79,3,79,https://crests.football-data.org/558.svg
559,Sevilla FC,1905.0,80,3,80,https://crests.football-data.org/559.svg
511,Toulouse FC,1937.0,81,5,81,https://crests.football-data.org/511.png
512,Stade Brestois 29,1903.0,82,5,82,https://crests.football-data.org/512.png
516,Olympique de Marseille,1898.0,83,5,83,https://crests.football-data.org/516.png
518,Montpellier HSC,1970.0,84,5,84,https://crests.football-data.org/518.png
521,Lille OSC,1944.0,85,5,85,https://crests.football-data.org/521.svg
522,OGC Nice,1904.0,86,5,86,https://crests.football-data.org/522.png
523,Olympique Lyonnais,1896.0,87,5,87,https://crests.football-data.org/523.svg
524,Paris Saint-Germain FC,1904.0,88,5,88,https://crests.football-data.org/524.png
525,FC Lorient,1926.0,89,5,89,https://crests.football-data.org/525.png
529,Stade Rennais FC 1901,1901.0,90,5,90,https://crests.football-data.org/529.png
533,Le Havre AC,1872.0,91,5,91,https://crests.football-data.org/533.png
541,Clermont Foot 63,1911.0,92,5,92,https://crests.football-data.org/541.svg
543,FC Nantes,1943.0,93,5,93,https://crests.football-data.org/543.png
545,FC Metz,1919.0,94,5,94,https://crests.football-data.org/545.svg
546,Racing Club de Lens,1906.0,95,5,95,https://crests.football-data.org/546.png
547,Stade de Reims,1909.0,96,5,96,https://crests.football-data.org/547.png
548,AS Monaco FC,1919.0,97,5,97,https://crests.football-data.org/548.png
576,RC Strasbourg Alsace,1906.0,98,5,98,https://crests.football-data.org/576.png
