player_id,team_id,name,position,date_of_birth,nationality
247657,64,Jayden Danns,Offence,2006-01-16,England
249379,64,Mateusz Musiałowski,Offence,2003-10-16,Poland
3141,58,Emiliano Martínez,Goalkeeper,1992-09-02,Argentina
187202,65,Rico Lewis,Defence,2004-11-21,England
15512,58,Robin Olsen,Goalkeeper,1990-01-08,Sweden
81871,58,Joe Gauci,Goalkeeper,2000-07-04,Australia
204460,58,James Wright,Goalkeeper,2004-12-02,England
244962,58,Sam Proctor,Goalkeeper,2006-12-21,England
252845,58,Lander Emery,Goalkeeper,2004-03-29,Spain
63,58,Clément Lenglet,Defence,1995-06-17,France
3359,58,Lucas Digne,Defence,1993-07-20,France
4082,58,Kortney Hause,Defence,1995-07-16,England
6317,58,Ezri Konsa,Defence,1998-04-06,England
7787,58,Calum Chambers,Defence,1995-01-20,England
8235,58,Tyrone Mings,Defence,1993-03-13,England
8346,58,Boubacar Kamara,Defence,1999-11-23,France
8698,58,Diego Carlos,Defence,1993-03-15,Brazil
11644,58,Matty Cash,Defence,1997-08-07,Poland
32123,58,Alex Moreno,Defence,1993-06-08,Spain
33109,58,Pau Torres,Defence,1997-01-16,Spain
171509,58,Kaine Kesler,Defence,2002-10-23,England
204428,58,Travis Patterson,Defence,2005-10-06,England
246589,58,Finley Munroe,Defence,2005-02-08,England
2013,58,Nicolò Zaniolo,Midfield,1999-07-02,Italy
3658,58,Youri Tielemans,Midfield,1997-05-07,Belgium
31941,58,Emiliano Buendía,Midfield,1996-12-25,Argentina
33525,58,Douglas Luiz,Midfield,1998-05-09,Brazil
34646,58,John McGinn,Midfield,1994-10-18,Scotland
111437,58,Jacob Ramsey,Midfield,2001-05-28,England
169326,58,Tim Iroegbunam,Midfield,2002-08-12,England
190563,58,Kadan Young,Midfield,2006-01-19,England
157,58,Leon Bailey,Offence,1997-08-09,Jamaica
2240,58,Moussa Diaby,Offence,1999-07-07,France
4444,58,Ollie Watkins,Offence,1995-12-30,England
82140,58,Morgan Rogers,Offence,2002-07-26,England
104493,58,Jhon Durán,Offence,2003-12-13,Colombia
214417,58,Omari Kellyman,Offence,2005-09-25,Northern Ireland
3086,73,Guglielmo Vicario,Goalkeeper,1996-10-07,Italy
7992,73,Alfie Whiteman,Goalkeeper,1998-10-02,England
8079,73,Fraser Forster,Goalkeeper,1988-03-17,England
133229,73,Brandon Austin,Goalkeeper,1999-01-08,England
1131,73,Emerson Royal,Defence,1999-01-14,Brazil
7994,73,Ben Davies,Defence,1993-04-24,Wales
45735,73,Christian Romero,Defence,1998-04-27,Argentina
81037,73,Pedro Porro,Defence,1999-09-13,Spain
131177,73,Mickey van de Ven,Defence,2001-04-19,Netherlands
140432,73,Radu Drăgușin,Defence,2002-02-03,Romania
170378,73,Destiny Udogie,Defence,2002-11-28,Italy
230351,73,Alfie Dorrington,Defence,2005-04-20,England
2041,73,Rodrigo Bentancur,Midfield,1997-06-25,Uruguay
3216,73,Giovani Lo Celso,Midfield,1996-04-09,Argentina
3959,73,Ryan Sessegnon,Midfield,2000-05-18,England
3992,73,James Maddison,Midfield,1996-11-23,England
8093,73,Pierre Emile Højbjerg,Midfield,1995-08-05,Denmark
8410,73,Yves Bissouma,Midfield,1996-08-30,Mali
96974,73,Oliver Skipp,Midfield,2000-09-16,England
124694,73,Brennan Johnson,Midfield,2001-05-23,Wales
170281,73,Heung-min Son,Midfield,1992-07-08,South Korea
170391,73,Pape Sarr,Midfield,2002-09-14,Senegal
206810,73,Yago Santiago,Midfield,2003-04-15,Spain
251740,73,Tyrese Hall,Midfield,2005-09-04,England
1859,73,Dejan Kulusevski,Offence,2000-04-25,Sweden
3187,73,Timo Werner,Offence,1996-03-06,Germany
8133,73,Richarlison,Offence,1997-05-10,Brazil
40541,73,Manor Solomon,Offence,1999-07-24,Israel
101912,73,Bryan Gil,Offence,2001-02-11,Spain
156616,73,Dane Scarlett,Offence,2004-03-24,England
221328,73,Jamie Donley,Offence,2005-01-03,Northern Ireland
251079,73,Mikey Moore,Offence,2007-08-11,England
3953,61,Marcus Bettinelli,Goalkeeper,1992-05-24,England
121765,61,Đorđe Petrović,Goalkeeper,1999-10-08,Serbia
135555,61,Robert Sánchez,Goalkeeper,1997-11-18,Spain
175910,61,Teddy Sharman-Lowe,Goalkeeper,2003-01-19,England
246715,61,Max Merrick,Goalkeeper,2005-11-10,England
246743,61,Ted Curd,Goalkeeper,2006-02-14,England
813,61,Axel Disasi,Defence,1998-03-11,France
3224,61,Thiago Silva,Defence,1984-09-22,Brazil
7810,61,Trevoh Chalobah,Defence,1999-07-05,England
8065,61,Ben Chilwell,Defence,1996-12-21,England
8424,61,Malang Sarr,Defence,1999-01-23,France
8545,61,Wesley Fofana,Defence,2000-12-17,France
15863,61,Cucurella,Defence,1998-07-22,Spain
56628,61,Reece James,Defence,1999-12-08,England
152498,61,Malo Gusto,Defence,2003-05-19,France
170426,61,Benoît Badiashile,Defence,2001-03-26,France
170440,61,Levi Colwill,Defence,2003-02-26,England
179698,61,Dylan Williams,Defence,2003-09-13,England
189625,61,Ishe Samuels-Smith,Defence,2006-06-05,England
206825,61,Alfie Gilchrist,Defence,2003-11-28,England
221263,61,Joshua Brooking,Defence,2002-09-01,England
248984,61,Harrison Murray-Campbell,Defence,2006-08-04,England
249320,61,Josh Acheampong,Defence,2006-05-05,England
8484,61,Christopher Nkunku,Midfield,1997-11-14,France
98978,61,Mykhailo Mudryk,Midfield,2001-01-05,Ukraine
102603,61,Enzo Fernández,Midfield,2001-01-17,Argentina
119265,61,Conor Gallagher,Midfield,2000-02-06,England
121103,61,Moisés Caicedo,Midfield,2001-11-02,Ecuador
144892,61,Cole Palmer,Midfield,2002-05-06,England
153555,61,Chimuanya Ugochukwu,Midfield,2004-03-26,France
167570,61,Carney Chukwuemeka,Midfield,2003-10-20,England
167720,61,Noni Madueke,Midfield,2002-03-10,England
172738,61,Romeo Lavia,Midfield,2004-01-06,Belgium
179558,61,Cesare Casadei,Midfield,2003-01-10,Italy
203375,61,Deivid Washington,Midfield,2005-06-05,Brazil
217744,61,Zak Sturge,Midfield,2004-06-15,England
228509,61,Leo Castledine,Midfield,2005-08-20,England
245340,61,Michael Golding,Midfield,2006-05-23,England
247243,61,Ollie Harrison,Midfield,2007-08-07,England
248777,61,Billy Gee,Midfield,2005-07-30,England
250364,61,Kiano Dyer,Midfield,2006-11-21,England
3329,61,Raheem Sterling,Offence,1994-12-08,England
152515,61,Nicolas Jackson,Offence,2001-06-20,Senegal
218431,61,Ronnie Stutter,Offence,2005-01-06,England
248767,61,Jimi Tauriainen,Offence,2004-03-09,Finland
250436,61,Tyrique George,Offence,2006-02-04,England
3310,67,Nick Pope,Goalkeeper,1992-04-19,England
5048,67,Mark Gillespie,Goalkeeper,1992-03-27,England
7856,67,Loris Karius,Goalkeeper,1993-06-22,Germany
7914,67,Martin Dúbravka,Goalkeeper,1989-01-15,Slovakia
220503,67,Aidan Harris,Goalkeeper,2006-12-16,England
244853,67,Adam Harrison,Goalkeeper,2006-10-20,England
88,67,Fabian Schär,Defence,1991-12-20,Switzerland
1868,67,Emil Krafth,Defence,1994-08-02,Sweden
3312,67,Kieran Trippier,Defence,1990-09-19,England
3962,67,Matt Targett,Defence,1995-09-18,England
4870,67,Dan Burn,Defence,1992-05-09,England
7917,67,Paul Dummett,Defence,1991-09-26,Wales
7919,67,Jamaal Lascelles,Defence,1993-11-11,England
7930,67,Matt Ritchie,Defence,1989-09-10,Scotland
81082,67,Sven Botman,Defence,2000-01-12,Netherlands
124683,67,Joe White,Defence,2002-10-01,England
168712,67,Valentino Livramento,Defence,2002-11-12,England
230364,67,Alex Murphy,Defence,2004-06-25,Ireland
1684,67,Bruno Guimarães,Midfield,1997-11-16,Brazil
2563,67,Sandro Tonali,Midfield,2000-05-08,Italy
4955,67,Sean Longstaff,Midfield,1997-10-30,England
6486,67,Alexander Isak,Midfield,1999-09-21,Sweden
7798,67,Joe Willock,Midfield,1999-08-20,England
7934,67,Jacob Murphy,Midfield,1995-02-24,England
8076,67,Harvey Barnes,Midfield,1997-12-09,England
76861,67,Miguel Almirón,Midfield,1994-02-10,Paraguay
107330,67,Elliot Anderson,Midfield,2002-11-06,Scotland
176852,67,Lewis Hall,Midfield,2004-09-08,England
177513,67,Lucas De Bolle,Midfield,2002-10-22,Scotland
204719,67,Travis Hernes,Midfield,2005-11-04,England
243652,67,James Huntley,Midfield,2004-03-02,England
7848,67,Anthony Gordon,Offence,2001-02-24,England
8251,67,Callum Wilson,Offence,1992-02-27,England
10653,67,Joelinton,Offence,1996-08-14,Brazil
181158,67,Garang Kuol,Offence,2004-09-15,Australia
191939,67,Lewis Miley,Offence,2006-05-01,England
228507,67,Ben Parkinson,Offence,2005-03-10,England
228508,67,Amadou Diallo,Offence,2003-02-15,England
7544,66,André Onana,Goalkeeper,1996-04-02,Cameroon
8035,66,Tom Heaton,Goalkeeper,1986-04-15,England
29518,66,Altay Bayındır,Goalkeeper,1998-04-14,Turkey
210730,66,Dermot Mee,Goalkeeper,2002-11-20,England
3326,66,Harry Maguire,Defence,1993-03-05,England
3360,66,Raphaël Varane,Defence,1993-04-25,France
3492,66,Victor Nilsson-Lindelöf,Defence,1994-07-17,Sweden
7467,66,Tyrell Malacia,Defence,1999-08-17,Netherlands
7898,66,Luke Shaw,Defence,1995-07-12,England
8014,66,Jonny Evans,Defence,1988-01-03,Northern Ireland
8158,66,Aaron Wan-Bissaka,Defence,1997-11-26,England
15905,66,Diogo Dalot,Defence,1999-03-18,Portugal
46451,66,Lisandro Martínez,Defence,1998-01-18,Argentina
244860,66,Willy Kambwala,Defence,2004-08-25,DR Congo
248978,66,Habeeb Ogunneye,Defence,2005-11-12,England
250886,66,Louis Jackson,Defence,2005-09-18,England
3231,66,Casemiro,Midfield,1992-02-23,Brazil
3257,66,Bruno Fernandes,Midfield,1994-09-08,Portugal
3459,66,Christian Eriksen,Midfield,1992-02-14,Denmark
3705,66,Sofyan Amrabat,Midfield,1996-08-21,Morocco
7599,66,Mason Mount,Midfield,1999-01-10,England
7905,66,Scott McTominay,Midfield,1996-12-08,Scotland
190797,66,Kobbie Mainoo,Midfield,2005-04-19,England
210150,66,Harry Amass,Midfield,2007-03-16,England
220574,66,Omari Forson,Midfield,2004-07-20,England
248734,66,Toby Collyer,Midfield,2004-01-03,England
3331,66,Marcus Rashford,Offence,1997-10-31,England
3372,66,Anthony Martial,Offence,1995-12-05,France
97085,66,Antony,Offence,2000-02-24,Brazil
133584,66,Amad Diallo,Offence,2002-07-11,Ivory Coast
152770,66,Rasmus Højlund,Offence,2003-02-04,Denmark
160846,66,Shola Shoretire,Offence,2004-02-02,Nigeria
250421,66,Ethan Wheatley,Offence,2006-01-20,England
3357,563,Alphonse Aréola,Goalkeeper,1993-02-27,France
3526,563,Łukasz Fabiański,Goalkeeper,1985-04-18,Poland
137390,563,Joseph Anang,Goalkeeper,2000-06-08,England
249553,563,Jacob Knightbridge,Goalkeeper,2004-01-25,England
3293,563,Edson Álvarez,Defence,1997-10-24,Mexico
7789,563,Konstantinos Mavropanos,Defence,1997-12-11,Greece
7809,563,Emerson,Defence,1994-08-03,Italy
7948,563,Kurt Zouma,Defence,1994-10-27,France
8201,563,Aaron Cresswell,Defence,1989-12-15,England
8202,563,Angelo Ogbonna,Defence,1988-05-23,Italy
8224,563,Ben Johnson,Defence,2000-01-24,England
15742,563,Tomáš Souček,Defence,1995-02-27,Czech Republic
62631,563,Vladimir Coufal,Defence,1992-08-22,Czech Republic
81191,563,Nayef Aguerd,Defence,1996-03-30,Morocco
1543,563,Lucas Paquetá,Midfield,1997-08-27,Brazil
4147,563,Kalvin Phillips,Midfield,1995-12-02,England
8088,563,James Ward-Prowse,Midfield,1994-11-01,England
8212,563,Michail Antonio,Midfield,1990-03-28,Jamaica
77399,563,Mohammed Kudus,Midfield,2000-08-02,Ghana
179657,563,Kamarai Simon-Swyer,Midfield,2002-12-04,England
188900,563,Oliver Scarles,Midfield,2005-12-12,England
191334,563,Levi Laing,Midfield,2003-04-12,England
209125,563,Kaelan Casey,Midfield,2004-10-28,England
209130,563,Lewis Orford,Midfield,2006-02-18,England
248957,563,George Earthy,Midfield,2004-09-05,England
7875,563,Danny Ings,Offence,1992-07-23,England
8471,563,Maxwel Cornet,Offence,1996-09-27,Ivory Coast
11414,563,Jarrod Bowen,Offence,1996-01-01,England
187380,563,Divin Mubama,Offence,2004-10-25,England
3884,354,Sam Johnstone,Goalkeeper,1993-03-25,England
5457,354,Dean Henderson,Goalkeeper,1997-03-12,England
182192,61,Diego Moreira,Offence,2004-08-06,Portugal
6413,354,Remi Matthews,Goalkeeper,1994-02-10,England
187229,354,Joe Whitworth,Goalkeeper,2004-02-29,England
2253,354,Joachim Andersen,Defence,1996-05-31,Denmark
7784,354,Rob Holding,Defence,1995-09-20,England
7863,354,Nathaniel Clyne,Defence,1991-04-05,England
8029,354,Nathan Ferguson,Defence,2000-10-06,England
8141,354,Joel Ward,Defence,1989-10-29,England
8144,354,James Tomkins,Defence,1989-03-29,England
8145,354,Jeffrey Schlupp,Defence,1992-12-23,Ghana
8147,354,Jaïro Riedewald,Defence,1996-09-09,Netherlands
22010,354,Daniel Muñoz,Defence,1996-05-26,Colombia
99856,354,Chris Richards,Defence,2000-03-28,USA
118489,354,Marc Guéhi,Defence,2000-07-13,England
137068,354,Tyrick Mitchell,Defence,1999-09-01,England
3737,354,Jefferson Lerma,Midfield,1994-10-25,Colombia
4032,354,Eberechi Eze,Midfield,1998-06-29,England
8124,354,Will Hughes,Midfield,1995-04-17,England
74677,354,Cheick Doucouré,Midfield,2000-01-08,Mali
113765,354,Michael Olise,Midfield,2001-12-12,France
131752,354,Naouirou Ahamada,Midfield,2002-03-29,France
179712,354,Jesurun Rak-Sakyi,Midfield,2002-10-05,England
180389,354,Adam Wharton,Midfield,2004-02-06,England
204522,354,David Ozoh,Midfield,2005-06-01,England
221789,354,Jadan Raymond,Midfield,2003-10-15,England
641,354,Jean-Philippe Mateta,Offence,1997-06-28,France
7984,354,Jordan Ayew,Offence,1991-09-11,Ghana
16077,354,Odsonne Edouard,Offence,1998-01-16,France
176241,354,Matheus Franca,Offence,2004-04-01,Brazil
247375,354,Franco Umeh,Offence,2005-01-26,Ireland
250297,354,Roshaun Mathurin,Offence,2004-01-23,England
4040,397,Jason Steele,Goalkeeper,1990-08-18,England
126870,397,Bart Verbruggen,Goalkeeper,2002-08-18,Netherlands
140203,397,Thomas McGill,Goalkeeper,2000-03-25,England
4228,397,Adam Webster,Defence,1995-01-04,England
7547,397,Joël Veltman,Defence,1992-01-15,Netherlands
7861,397,James Milner,Defence,1986-01-04,England
8259,397,Lewis Dunk,Defence,1991-11-21,England
10777,397,Igor,Defence,1998-02-07,Brazil
32642,397,Pervis Estupiñán,Defence,1998-01-21,Ecuador
98566,397,Jan Paul van Hecke,Defence,2000-06-08,Netherlands
133787,397,Tariq Lamptey,Defence,2000-09-30,Ghana
170261,397,Valentin Barco,Defence,2004-07-23,Argentina
175855,397,Odel Offiah,Defence,2002-10-26,England
240199,397,Benjamin Jackson,Defence,2003-09-03,England
244632,397,Leigh Kavanagh,Defence,2003-12-27,Ireland
252810,397,Noël Atom,Defence,2005-01-05,Germany
3318,397,Adam Lallana,Midfield,1988-05-10,England
8273,397,Pascal Groß,Midfield,1991-06-15,Germany
99952,397,Jakub Moder,Midfield,1999-04-07,Poland
126289,397,Billy Gilmour,Midfield,2001-06-11,Scotland
132707,397,Kaoru Mitoma,Midfield,1997-05-20,Japan
161365,397,Solly March,Midfield,1994-07-20,England
168949,397,Julio Enciso,Midfield,2004-01-23,Paraguay
178604,397,Carlos Baleba,Midfield,2004-01-03,Cameroon
184273,397,Facundo Buonanotte,Midfield,2004-12-23,Argentina
190851,397,Jack Hinshelwood,Midfield,2005-04-11,England
204449,397,Cameron Peupion,Midfield,2002-09-23,Australia
213692,397,Caylan Vickers,Midfield,2004-12-22,England
244662,397,Samy Chouchane,Midfield,2003-09-05,France
3328,397,Danny Welbeck,Offence,1990-11-26,England
103125,397,João Pedro,Offence,2001-09-26,Brazil
128040,397,Ansu Fati,Offence,2002-10-31,Spain
130809,397,Evan Ferguson,Offence,2004-10-19,Ireland
166249,397,Simon Adingra,Offence,2002-01-01,Ivory Coast
227761,397,Joshua Duffus,Offence,2004-12-15,England
230534,397,Mark O'Mahony,Offence,2005-01-14,Ireland
230535,397,Benicio Boaitey,Offence,2004-01-09,England
244609,397,Luca Barrington,Offence,2004-12-12,England
2788,1044,Ionuț Radu,Goalkeeper,1997-05-28,Romania
3221,1044,Neto,Goalkeeper,1989-07-19,Brazil
4203,1044,Darren Randolph,Goalkeeper,1987-05-12,Ireland
82135,1044,Mark Travers,Goalkeeper,1999-05-18,Ireland
189567,1044,Cameron Plain,Goalkeeper,2002-11-28,England
246451,1044,Callan McKenna,Goalkeeper,2006-12-22,Scotland
3966,1044,Ryan Fredericks,Defence,1992-10-10,England
4393,1044,Lloyd Kelly,Defence,1998-10-06,England
4427,1044,Chris Mepham,Defence,1997-11-05,Wales
8231,1044,Adam Smith,Defence,1991-04-29,England
46046,1044,Marcos Senesi,Defence,1997-05-10,Argentina
77596,1044,Tyler Adams,Defence,1999-02-14,USA
80765,1044,Max Aarons,Defence,2000-01-04,England
82145,1044,James Hill,Defence,2002-01-10,England
143573,1044,Illia Zabarnyi,Defence,2002-09-01,Ukraine
171141,1044,Milos Kerkez,Defence,2003-11-07,Hungary
191449,1044,Maxwell Kinsey-Wellings,Defence,2005-02-02,England
3327,1044,Lewis Cook,Midfield,1997-02-03,England
6396,1044,Marcus Tavernier,Midfield,1999-03-22,England
8184,1044,Philip Billing,Midfield,1996-06-11,Denmark
8762,1044,Romain Faivre,Midfield,1998-07-14,France
34495,1044,Ryan Christie,Midfield,1995-02-22,Scotland
177305,1044,Dango Ouattara,Midfield,2002-02-11,Burkina Faso
209103,1044,Dominic Sadi,Midfield,2003-09-02,England
209110,1044,Michael Dacosta Gonzalez,Midfield,2005-03-05,Spain
4417,1044,Antoine Semenyo,Offence,2000-01-07,Ghana
7561,1044,Justin Kluivert,Offence,1999-05-05,Netherlands
7878,1044,Dominic Solanke,Offence,1997-09-14,England
22040,1044,Luis Sinisterra,Offence,1999-06-17,Colombia
33132,1044,Enes Ünal,Offence,1997-05-10,Turkey
161088,1044,Alex Scott,Offence,2003-08-21,England
3174,63,Bernd Leno,Goalkeeper,1992-03-04,Germany
6445,63,Marek Rodák,Goalkeeper,1996-12-13,Slovakia
81055,63,Steven Benda,Goalkeeper,1998-10-01,Germany
1836,63,Timothy Castagne,Defence,1995-12-05,Belgium
3927,63,Antonee Robinson,Defence,1997-08-08,USA
3956,63,Tim Ream,Defence,1987-10-05,USA
7880,63,Tosin Adarabioyo,Defence,1997-09-24,England
8296,63,Issa Diop,Defence,1997-01-09,France
8403,63,Fodé Ballo-Touré,Defence,1997-01-03,Senegal
8460,63,Kenny Tete,Defence,1995-10-09,Netherlands
146154,63,Calvin Bassey,Defence,1999-12-31,Nigeria
217596,63,Luc De Fougerolles,Defence,2005-10-12,Canada
227998,63,Devan Tanton,Defence,2004-01-03,Colombia
3230,63,Willian,Midfield,1988-08-09,Brazil
3965,63,Tom Cairney,Midfield,1991-01-20,England
3995,63,Harrison Reed,Midfield,1995-01-27,England
4398,63,Bobby Reid,Midfield,1993-02-02,Jamaica
11777,63,Harry Wilson,Midfield,1997-03-22,Wales
15884,63,João Palhinha,Midfield,1995-07-09,Portugal
32938,63,Saša Lukić,Midfield,1996-08-13,Serbia
33153,63,Andreas Pereira,Midfield,1996-01-01,Brazil
189889,63,Kristian Sekularac,Midfield,2003-12-07,Switzerland
209084,63,Matthew Dibley-Dias,Midfield,2003-10-29,England
246418,63,Joshua King,Midfield,2007-01-03,England
3305,63,Raúl Jiménez,Offence,1991-05-05,Mexico
3392,63,Alex Iwobi,Offence,1996-05-03,Nigeria
4221,63,Adama Traoré,Offence,1996-01-25,Spain
138036,63,Rodrigo Muniz,Offence,2001-05-04,Brazil
143054,63,Armando Broja,Offence,2001-09-10,Albania
4418,76,Daniel Bentley,Goalkeeper,1993-07-13,England
6180,76,Thomas King,Goalkeeper,1995-03-09,Wales
15899,76,José Sá,Goalkeeper,1993-01-17,Portugal
4081,76,Matt Doherty,Defence,1992-01-16,Ireland
8012,76,Craig Dawson,Defence,1990-05-06,England
8642,76,Rayan Aït Nouri,Defence,2001-06-06,Algeria
15862,76,Nélson Semedo,Defence,1993-11-16,Portugal
25376,76,Max Kilman,Defence,1997-05-23,England
32767,76,Santiago Bueno,Defence,1998-11-09,Uruguay
102223,76,Toti Gomes,Defence,1999-01-16,Portugal
157709,76,Hugo Bueno,Defence,2002-09-18,Spain
189479,76,Harvey Griffiths,Defence,2003-09-22,England
244625,76,Matthew Whittingham,Defence,2004-10-24,England
245356,76,Aaron Keto-Diyawa,Defence,2003-09-11,England
249060,76,Wesley Okoduwa,Defence,2008-05-12,England
788,76,Jean-Ricner Bellegarde,Midfield,1998-06-27,France
8097,76,Mario Lemina,Midfield,1993-09-01,Gabon
133553,76,Boubacar Traoré,Midfield,2001-08-20,Mali
135345,76,Tawanda Chirewa,Midfield,2003-10-11,England
138034,76,João Gomes,Midfield,2001-02-12,Brazil
172581,76,Tommy Doyle,Midfield,2001-10-17,England
193014,76,Enso Gonzalez,Midfield,2005-01-20,Paraguay
245046,76,Ty Barnett,Midfield,2005-07-19,England
250791,76,Temple Ojinnaka,Midfield,2005-03-30,England
74,76,Pablo Sarabia,Offence,1992-05-11,Spain
2074,76,Pedro Neto,Offence,2000-03-09,Portugal
3354,76,Hwang Heechan,Offence,1996-01-26,South Korea
30842,76,Matheus Cunha,Offence,1999-05-27,Brazil
189575,76,Nathan Fraser,Offence,2005-02-22,England
217617,76,Noha Lemina,Offence,2005-06-17,France
249354,76,Leon Chiwome,Offence,2006-01-10,England
249571,76,Fletcher Holman,Offence,2004-10-12,England
3309,62,Jordan Pickford,Goalkeeper,1994-03-07,England
4133,62,Andy Lonergan,Goalkeeper,1983-10-19,England
5316,62,Billy Crellin,Goalkeeper,2000-06-30,England
82207,62,João Virgínia,Goalkeeper,1999-10-10,Portugal
3316,62,James Tarkowski,Defence,1992-11-19,England
